Country,Latitude,Longitude,Pano_Id,Path
Spain,36.47728580316684,-5.8805779833501255,mnPCQWYwG-MIUV64ybl23g,data/images/Spain/0000/
Spain,37.60011705054158,-4.34156323520318,cXqaOBEMHANps9ZENoLozw,data/images/Spain/0001/
Spain,42.87048770000001,-1.3815157,RHuZZGXpb4levD1LK8Wtsw,data/images/Spain/0002/
Spain,41.2966932,-3.6035237,si-40KyaaKHFGdvy12nSIg,data/images/Spain/0003/
Spain,39.02492695615972,-3.9776010682161336,wniI8AxaJ2gBC7q1GjV7GQ,data/images/Spain/0004/
Spain,38.2445125,-3.5796004,xs4XIThJq_yRcQ7r2A_pRA,data/images/Spain/0005/
Spain,39.8608287598245,-4.878488437729172,UCUfnYokJ_29th0FKTJlXQ,data/images/Spain/0006/
Spain,40.600128011888046,-4.324192164335882,Pjr7m6yFIjP0wcJIYexW2w,data/images/Spain/0007/
Spain,40.72047131243197,0.4294670901627925,u-9Q9BlqyUsIj2kmEKnOsg,data/images/Spain/0008/
Spain,40.82246359674824,-0.032369173363489365,JCbIYMvuALZUww2shk8ppw,data/images/Spain/0009/
Spain,43.27032152429657,-7.0748160817909955,o9Grm4Zr68d_veQINfVkSA,data/images/Spain/0010/
Spain,42.431618788229926,-1.9733369653238781,OwgK-chsSu2iPafjvWEKKw,data/images/Spain/0011/
Spain,43.320925080555725,-3.2869010002308636,MydG4KgVhp5-3O8VZcLUyw,data/images/Spain/0012/
Spain,38.57003871966561,-2.392899813861259,XZZFP4e6W4hEZwEVniaZcA,data/images/Spain/0013/
Spain,40.0463917,-5.7740918,0_2vMQgZAUWlii_Q8u_Cig,data/images/Spain/0014/
Spain,37.67688136160589,-2.7260105046613266,w_ryfbzWd1XGN8FuFLw4ug,data/images/Spain/0015/
Spain,41.58206686162977,-4.126686521053252,QMq8cHeLK6424bhJa58ZWw,data/images/Spain/0016/
Spain,37.96472120000001,-0.8918134,8ktqAnCesUh4sxlj38LUDQ,data/images/Spain/0017/
